the	{"determiner": ["cái", "con", "những"]}
plainclothes	{"adjective": ["thường phục"]}
part-timer	{"noun": ["người làm bán thời gian"]}
studiously	{"adverb": ["chăm chỉ", "cẩn thận"]}
disburse	{"verb": ["chi trả", "phân phát"]}
lambast	{"verb": ["chỉ trích dữ dội", "mắng nhiếc"]}
aver	{"verb": ["khẳng định", "tuyên bố"]}
leotard	{"noun": ["áo liền quần bó sát"]}
distrustful	{"adjective": ["đa nghi", "không tin tưởng"]}
gypsum	{"noun": ["thạch cao"]}
intergalactic	{"adjective": ["giữa các thiên hà"]}
abhorrent	{"adjective": ["ghê tởm", "đáng ghét"]}
segmented	{"adjective": ["phân đoạn", "chia đốt"]}
coloured	{"adjective": ["có màu", "màu sắc"]}
back-and-forth	{"adjective": ["qua lại", "tới lui"], "noun": ["sự qua lại", "sự tới lui"]}
extravagantly	{"adverb": ["xa hoa", "phung phí"]}
descendent	{"noun": ["hậu duệ", "con cháu"]}
hedgerow	{"noun": ["hàng rào cây"]}
drier	{"noun": ["máy sấy", "chất làm khô"]}
wide-screen	{"adjective": ["màn ảnh rộng"]}
neanderthal	{"noun": ["người Neanderthal"], "adjective": ["thuộc về người Neanderthal"]}
middleweight	{"noun": ["hạng trung (quyền anh)", "người có cân nặng hạng trung"]}
goalkeeper	{"noun": ["thủ môn"]}
husbandry	{"noun": ["nghề nông", "sự chăn nuôi", "sự quản lý"]}
bashful	{"adjective": ["rụt rè", "e thẹn"]}
enticement	{"noun": ["sự cám dỗ", "sự quyến rũ"]}
tussle	{"noun": ["cuộc ẩu đả", "cuộc vật lộn"], "verb": ["ẩu đả", "vật lộn"]}
charmingly	{"adverb": ["duyên dáng", "quyến rũ"]}
light-headed	{"adjective": ["choáng váng", "lơ mơ"]}
conduction	{"noun": ["sự dẫn", "sự truyền dẫn"]}
primary-care	{"adjective": ["chăm sóc ban đầu"]}
amiably	{"adverb": ["thân thiện", "hòa nhã"]}
proviso	{"noun": ["điều khoản", "sự quy định"]}
collard	{"noun": ["cải xoăn"]}
eke	{"verb": ["kiếm sống chật vật", "bù đắp"]}
wingspan	{"noun": ["sải cánh"]}
theatrics	{"noun": ["kịch tính", "sự làm bộ", "sự khoa trương"]}
behaviorist	{"noun": ["nhà hành vi học"]}
idolatry	{"noun": ["sự sùng bái thần tượng", "sự tôn thờ"]}
rehash	{"verb": ["xào lại", "làm lại"], "noun": ["sự xào lại", "sự làm lại"]}
ultramarine	{"noun": ["màu xanh biển đậm"], "adjective": ["xanh biển đậm"]}
photojournalist	{"noun": ["nhà báo ảnh"]}
night-vision	{"noun": ["tầm nhìn ban đêm"]}
typist	{"noun": ["người đánh máy"]}
unrivaled	{"adjective": ["vô song", "không ai sánh bằng"]}
redeployment	{"noun": ["sự tái triển khai", "sự điều động lại"]}
nondisabled	{"adjective": ["không khuyết tật"]}
reactivity	{"noun": ["tính phản ứng", "khả năng phản ứng"]}
tinkling	{"noun": ["tiếng leng keng", "tiếng lanh canh"], "adjective": ["kêu leng keng", "kêu lanh canh"]}
niacin	{"noun": ["niacin"]}
grayish	{"adjective": ["hơi xám"]}
ado	{"noun": ["sự ồn ào", "sự náo động"]}
forbearance	{"noun": ["sự nhẫn nại", "sự chịu đựng"]}
dutchman	{"noun": ["người Hà Lan"]}
foment	{"verb": ["xúi giục", "kích động"]}
curable	{"adjective": ["có thể chữa được"]}
regenerative	{"adjective": ["tái sinh", "phục hồi"]}
banishment	{"noun": ["sự trục xuất", "sự đày ải"]}
tonality	{"noun": ["âm điệu", "tính chất âm nhạc"]}
asymptomatic	{"adjective": ["không có triệu chứng"]}
outshine	{"verb": ["làm lu mờ", "tỏa sáng hơn"]}
cymbal	{"noun": ["chũm chọe"]}
multilevel	{"adjective": ["đa cấp"]}
waist-high	{"adjective": ["cao ngang thắt lưng"]}
cosmonaut	{"noun": ["nhà du hành vũ trụ"]}
self-assured	{"adjective": ["tự tin"]}
decelerate	{"verb": ["giảm tốc", "làm chậm lại"]}
abortive	{"adjective": ["thất bại", "không thành công", "bị hủy bỏ"]}
shipmate	{"noun": ["bạn cùng tàu"]}
restock	{"verb": ["tái nhập kho", "bổ sung hàng"]}
question-and-answer	{"noun": ["hỏi đáp"]}
episcopalian	{"noun": ["người theo đạo Giám lý"], "adjective": ["thuộc đạo Giám lý"]}
ridgeline	{"noun": ["đường sống núi"]}
flue	{"noun": ["ống khói", "ống dẫn khí"]}
hesitancy	{"noun": ["sự do dự", "sự lưỡng lự"]}
federated	{"adjective": ["liên bang", "liên kết"]}
four-story	{"adjective": ["bốn tầng"]}
pygmy	{"noun": ["người lùn", "vật nhỏ bé"], "adjective": ["lùn", "nhỏ bé"]}
offscreen	{"adjective": ["ngoài màn hình"]}
avenger	{"noun": ["người báo thù", "người trả thù"]}
prudently	{"adverb": ["thận trọng", "khôn ngoan"]}
rower	{"noun": ["người chèo thuyền"]}
awe-inspiring	{"adjective": ["đáng kinh ngạc", "gây ấn tượng mạnh"]}
reinforcer	{"noun": ["chất tăng cường", "yếu tố củng cố"]}
communicable	{"adjective": ["dễ lây", "có thể truyền nhiễm"]}
arab-american	{"noun": ["người Mỹ gốc Ả Rập"], "adjective": ["thuộc người Mỹ gốc Ả Rập"]}
free-throw	{"noun": ["ném phạt (bóng rổ)"]}
name-calling	{"noun": ["sự lăng mạ", "sự chửi bới"]}
hawthorn	{"noun": ["cây táo gai"]}
overloaded	{"adjective": ["quá tải", "chất đầy"], "verb": ["làm quá tải", "chất đầy"]}
fermented	{"adjective": ["lên men"], "verb": ["lên men"]}
cowgirl	{"noun": ["cô gái chăn bò"]}
indecency	{"noun": ["sự khiếm nhã", "sự bất lịch sự"]}
pert	{"adjective": ["táo bạo", "hỗn xược", "nhanh nhẹn"]}
newfangled	{"adjective": ["mới lạ", "mới xuất hiện"]}
dynastic	{"adjective": ["thuộc về triều đại"]}
blasphemous	{"adjective": ["báng bổ", "xúc phạm thần thánh"]}
mongolian	{"noun": ["người Mông Cổ", "tiếng Mông Cổ"], "adjective": ["thuộc về Mông Cổ"]}
internationalist	{"noun": ["người theo chủ nghĩa quốc tế"], "adjective": ["theo chủ nghĩa quốc tế"]}
fondue	{"noun": ["món fondue"]}
intermarriage	{"noun": ["sự kết hôn khác chủng tộc", "sự kết hôn khác tôn giáo"]}
sixty-eight	{"noun": ["số 68"], "adjective": ["68"]}
revelry	{"noun": ["sự vui chơi", "sự chè chén"]}
inter-ethnic	{"adjective": ["đa sắc tộc", "liên dân tộc"]}
certitude	{"noun": ["sự chắc chắn", "sự tin chắc"]}
micrometer	{"noun": ["panme", "micromet"]}
undergarment	{"noun": ["đồ lót"]}
gurgling	{"noun": ["tiếng ọc ọc", "tiếng róc rách"], "adjective": ["ọc ọc", "róc rách"]}
rechargeable	{"adjective": ["có thể sạc lại"]}
lozenge	{"noun": ["viên ngậm", "hình thoi"]}
musculature	{"noun": ["hệ cơ", "cơ bắp"]}
consultancy	{"noun": ["dịch vụ tư vấn", "công ty tư vấn"]}
gibberish	{"noun": ["lời nói vô nghĩa", "tiếng lảm nhảm"]}
positron	{"noun": ["positron"]}
non-jewish	{"adjective": ["không phải người Do Thái"]}
ardently	{"adverb": ["nồng nhiệt", "hăng hái"]}
toot	{"verb": ["bóp còi", "thổi còi"], "noun": ["tiếng còi", "tiếng bíp"]}
bleat	{"verb": ["kêu be be", "nói lảm nhảm"], "noun": ["tiếng be be", "tiếng lảm nhảm"]}
slop	{"noun": ["nước bẩn", "đồ ăn thừa", "sự cẩu thả"], "verb": ["làm đổ", "ăn uống cẩu thả"]}
balsam	{"noun": ["nhựa thơm", "dầu thơm"]}
give-and-take	{"noun": ["sự nhường nhịn", "sự thỏa hiệp"]}
whorl	{"noun": ["vòng xoắn", "vân xoắn"]}
tilted	{"adjective": ["nghiêng", "xiêu vẹo"], "verb": ["làm nghiêng", "làm xiêu vẹo"]}
detoxification	{"noun": ["sự giải độc"]}
squeamish	{"adjective": ["dễ buồn nôn", "nhát gan"]}
whipping	{"noun": ["sự đánh roi", "sự đánh đập"]}
unpleasantness	{"noun": ["sự khó chịu", "sự phiền toái"]}
bottler	{"noun": ["người đóng chai", "nhà máy đóng chai"]}
cheeky	{"adjective": ["hỗn xược", "táo tợn", "má phúng phính"]}
stolid	{"adjective": ["lầm lì", "khó cảm xúc"]}
radicalize	{"verb": ["cực đoan hóa"]}
indeterminacy	{"noun": ["tính không xác định", "sự mơ hồ"]}
pictured	{"adjective": ["được minh họa", "được chụp ảnh"], "verb": ["minh họa", "chụp ảnh"]}
floater	{"noun": ["vật nổi", "người bỏ phiếu tự do", "người làm việc tạm thời"]}
annotation	{"noun": ["chú thích", "ghi chú"]}
internationalization	{"noun": ["sự quốc tế hóa"]}
filtered	{"adjective": ["đã lọc"], "verb": ["lọc"]}
walrus	{"noun": ["con moóc"]}
reignite	{"verb": ["bùng cháy lại", "khơi lại"]}
forked	{"adjective": ["chia đôi", "có ngã ba"]}
decently	{"adverb": ["đàng hoàng", "tử tế", "khá tốt"]}
capital-gains	{"noun": ["lợi nhuận vốn"]}
backwardness	{"noun": ["sự lạc hậu", "sự chậm tiến"]}
overvalue	{"verb": ["đánh giá quá cao"]}
ponderosa	{"noun": ["cây thông ponderosa"]}
crud	{"noun": ["chất bẩn", "đồ bỏ đi", "người khó chịu"]}
fiddler	{"noun": ["người chơi vĩ cầm"]}
dervish	{"noun": ["tu sĩ Dervish", "người cuồng tín"]}
atone	{"verb": ["chuộc lỗi", "đền tội"]}
bracing	{"adjective": ["sảng khoái", "mạnh mẽ"], "verb": ["làm sảng khoái", "làm mạnh mẽ"]}
viper	{"noun": ["rắn độc"]}
nourishing	{"adjective": ["bổ dưỡng", "nuôi dưỡng"], "verb": ["nuôi dưỡng"]}
conducting	{"adjective": ["dẫn điện", "dẫn nhiệt"], "verb": ["dẫn", "điều khiển", "chỉ huy"]}
serendipitous	{"adjective": ["tình cờ", "may mắn"]}
limply	{"adverb": ["mềm oặt", "yếu ớt"]}
caramelize	{"verb": ["caramen hóa", "thắng đường"]}
plover	{"noun": ["chim choi choi"]}
sate	{"verb": ["làm thỏa mãn", "làm no"]}
amoral	{"adjective": ["vô đạo đức", "phi đạo đức"]}
announced	{"verb": ["đã thông báo", "đã tuyên bố"]}
anus	{"noun": ["hậu môn"]}
decanter	{"noun": ["bình rót rượu"]}
jumbled	{"adjective": ["lộn xộn", "hỗn độn"], "verb": ["làm lộn xộn"]}
inquisitor	{"noun": ["người thẩm vấn", "người tra hỏi"]}
malfeasance	{"noun": ["hành vi sai trái", "hành vi bất chính"]}
elope	{"verb": ["bỏ trốn", "trốn đi (để kết hôn)"]}
adapted	{"verb": ["đã thích nghi", "đã điều chỉnh"], "adjective": ["được điều chỉnh", "được thích nghi"]}
bronzed	{"adjective": ["màu đồng", "rám nắng"], "verb": ["làm rám nắng", "làm cho có màu đồng"]}
contestation	{"noun": ["sự tranh cãi", "sự phản đối"]}
focuser	{"noun": ["người tập trung", "bộ phận lấy nét"]}
uncivilized	{"adjective": ["mất lịch sự", "man rợ", "vô văn minh"]}
yew	{"noun": ["cây thủy tùng"]}
defrost	{"verb": ["làm tan băng", "rã đông"]}
reputed	{"adjective": ["có tiếng", "nổi tiếng"], "verb": ["được cho là"]}
discouragement	{"noun": ["sự nản lòng", "sự thoái chí"]}
pacifism	{"noun": ["chủ nghĩa hòa bình"]}
crackpot	{"noun": ["người lập dị", "người gàn dở"], "adjective": ["lập dị", "gàn dở"]}
dissociation	{"noun": ["sự phân ly", "sự tách rời"]}
concordance	{"noun": ["sự hòa hợp", "bảng đối chiếu"]}
nepotism	{"noun": ["chủ nghĩa gia đình trị", "sự thiên vị người thân"]}
sistine	{"adjective": ["thuộc về Sistine"]}
light-colored	{"adjective": ["màu nhạt", "màu sáng"]}
pasha	{"noun": ["pa-sa (tước hiệu Thổ Nhĩ Kỳ)"]}
reduced-fat	{"adjective": ["ít béo", "giảm béo"]}
superfund	{"noun": ["siêu quỹ (quỹ môi trường)"]}
entomology	{"noun": ["côn trùng học"]}
sport-utility	{"noun": ["xe thể thao đa dụng"]}
picture-perfect	{"adjective": ["đẹp như tranh vẽ", "hoàn hảo"]}
flailing	{"verb": ["vung vẩy", "quẫy đạp"], "adjective": ["đang vung vẩy", "đang quẫy đạp"]}
charmed	{"adjective": ["duyên dáng", "quyến rũ", "bị mê hoặc"], "verb": ["làm mê hoặc", "quyến rũ"]}
cannibalize	{"verb": ["ăn thịt đồng loại", "tận dụng bộ phận của cái cũ"]}
curtly	{"adverb": ["cộc lốc", "lỗ mãng"]}
ravaged	{"verb": ["tàn phá", "phá hủy"], "adjective": ["bị tàn phá", "bị phá hủy"]}
destabilization	{"noun": ["sự gây mất ổn định"]}
earplug	{"noun": ["nút bịt tai"]}
garbled	{"adjective": ["khó hiểu", "méo mó"], "verb": ["làm méo mó", "làm khó hiểu"]}
unpalatable	{"adjective": ["khó ăn", "khó chịu", "không vừa ý"]}
season-ending	{"adjective": ["kết thúc mùa giải"]}
signer	{"noun": ["người ký", "người ra dấu"]}
jamb	{"noun": ["khung cửa", "trụ cửa"]}
vibrancy	{"noun": ["sự rung động", "sự sống động"]}
forefoot	{"noun": ["bàn chân trước"]}
crayfish	{"noun": ["tôm càng"]}
flavoring	{"noun": ["chất tạo hương vị", "gia vị"]}
affectation	{"noun": ["sự làm bộ", "sự điệu bộ"]}
refutation	{"noun": ["sự bác bỏ", "sự phản bác"]}
dusting	{"noun": ["sự phủi bụi", "sự rắc"], "verb": ["phủi bụi", "rắc"]}
genotype	{"noun": ["kiểu gen"]}
biometric	{"adjective": ["sinh trắc học"]}
etymology	{"noun": ["từ nguyên học"]}
unlisted	{"adjective": ["không được liệt kê", "không có trong danh sách"]}
wearable	{"adjective": ["có thể mặc được", "đeo được"], "noun": ["đồ mặc được", "đồ đeo được"]}
rectum	{"noun": ["trực tràng"]}
life-giving	{"adjective": ["mang lại sự sống", "sinh dưỡng"]}
out-of-the-way	{"adjective": ["xa xôi", "hẻo lánh", "khó tìm"]}
left-leaning	{"adjective": ["có xu hướng tả khuynh"]}
praying	{"verb": ["cầu nguyện"], "adjective": ["đang cầu nguyện"]}
hooligan	{"noun": ["kẻ côn đồ", "du côn"]}
high-grade	{"adjective": ["chất lượng cao", "hạng nhất"]}
indomitable	{"adjective": ["bất khuất", "không thể khuất phục"]}
deform	{"verb": ["làm biến dạng", "làm méo mó"]}
wildland	{"noun": ["vùng đất hoang"]}
tourniquet	{"noun": ["băng garô"]}
disappeared	{"verb": ["đã biến mất"]}
us-soviet	{"adjective": ["Mỹ-Xô"]}
hijacked	{"verb": ["đã cướp", "đã bắt cóc"], "adjective": ["bị cướp", "bị bắt cóc"]}
marmalade	{"noun": ["mứt cam"]}
four-week	{"adjective": ["bốn tuần"]}
flack	{"noun": ["người phát ngôn", "người quảng cáo", "lời chỉ trích"], "verb": ["quảng cáo", "chỉ trích"]}
pageantry	{"noun": ["sự phô trương", "sự diễu hành"]}
rickshaw	{"noun": ["xe kéo"]}
goldenrod	{"noun": ["cây mao lương vàng"]}
one-size-fits-all	{"adjective": ["một cỡ cho tất cả", "chung cho tất cả"]}
uncontested	{"adjective": ["không bị tranh cãi", "không bị phản đối"]}
recycler	{"noun": ["người tái chế", "máy tái chế"]}
aglow	{"adjective": ["sáng rực", "rạng rỡ"]}
toolbar	{"noun": ["thanh công cụ"]}
chiseled	{"adjective": ["đẽo gọt", "khắc"], "verb": ["đẽo gọt", "khắc"]}
mnemonic	{"adjective": ["thuộc về trí nhớ", "gợi nhớ"], "noun": ["quy tắc ghi nhớ"]}
floss	{"noun": ["chỉ nha khoa"], "verb": ["dùng chỉ nha khoa"]}
distillery	{"noun": ["nhà máy chưng cất rượu"]}
active-duty	{"adjective": ["đang tại ngũ"]}
shrift	{"noun": ["sự xưng tội", "sự trừng phạt"]}
admiringly	{"adverb": ["ngưỡng mộ", "thán phục"]}
godly	{"adjective": ["ngoan đạo", "sùng đạo", "thần thánh"]}
calico	{"noun": ["vải calico", "mèo tam thể"], "adjective": ["vải calico", "tam thể"]}
willy-nilly	{"adverb": ["bất đắc dĩ", "miễn cưỡng", "tùy tiện"]}
editorialize	{"verb": ["biên tập", "đưa ý kiến chủ quan"]}
sleepily	{"adverb": ["buồn ngủ", "ngái ngủ"]}
sociopath	{"noun": ["người mắc chứng rối loạn nhân cách chống đối xã hội"]}
occidental	{"adjective": ["phương Tây"], "noun": ["người phương Tây"]}
go-between	{"noun": ["người trung gian", "người môi giới"]}
stratify	{"verb": ["phân tầng", "chia lớp"]}
triptych	{"noun": ["bức tranh ba mảnh"]}
refresher	{"noun": ["khóa học ôn tập", "đồ uống giải khát"]}
palatial	{"adjective": ["lộng lẫy", "như cung điện"]}
chastened	{"adjective": ["bị khiển trách", "bị trừng phạt"], "verb": ["khiển trách", "trừng phạt"]}
excavator	{"noun": ["máy xúc", "người khai quật"]}
hogan	{"noun": ["nhà của người Navajo"]}
disorganization	{"noun": ["sự mất tổ chức", "sự hỗn loạn"]}
rose-colored	{"adjective": ["màu hồng", "lạc quan"]}
life-support	{"noun": ["hệ thống hỗ trợ sự sống"]}
unassailable	{"adjective": ["không thể công kích", "không thể bác bỏ"]}
virginal	{"adjective": ["trinh trắng", "trong trắng", "nguyên sơ"]}
practicable	{"adjective": ["có thể thực hiện được", "thiết thực"]}
pinto	{"noun": ["ngựa khoang", "đậu pinto"], "adjective": ["khoang", "lốm đốm"]}
cirrhosis	{"noun": ["xơ gan"]}
white-hot	{"adjective": ["nóng trắng", "cực kỳ nóng", "sôi sục"]}
disintegrating	{"verb": ["đang tan rã", "đang phân hủy"], "adjective": ["đang tan rã", "đang phân hủy"]}
disaffection	{"noun": ["sự bất mãn", "sự ly khai"]}
heckle	{"verb": ["chất vấn", "làm gián đoạn", "chế nhạo"]}
off-white	{"adjective": ["trắng ngà"]}
cohabitation	{"noun": ["sự sống chung", "sự chung sống"]}
licensee	{"noun": ["người được cấp phép", "người được nhượng quyền"]}
steakhouse	{"noun": ["nhà hàng bít tết"]}
hothouse	{"noun": ["nhà kính", "vườn ươm"]}
fatherland	{"noun": ["tổ quốc", "đất nước"]}
traveller	{"noun": ["khách du lịch", "người đi du lịch"]}
loopy	{"adjective": ["ngớ ngẩn", "lẫn thẫn", "có nhiều vòng"]}
entangled	{"adjective": ["bị vướng", "bị mắc kẹt", "rối rắm"], "verb": ["làm vướng", "làm mắc kẹt", "làm rối rắm"]}
coverlet	{"noun": ["khăn trải giường", "tấm phủ giường"]}
rapidity	{"noun": ["sự nhanh chóng", "tốc độ"]}
evangelization	{"noun": ["sự truyền bá phúc âm"]}
enrollee	{"noun": ["người ghi danh", "người đăng ký"]}
coleslaw	{"noun": ["salad bắp cải trộn"]}
octagonal	{"adjective": ["hình bát giác"]}
firmament	{"noun": ["bầu trời", "vòm trời"]}
follow-through	{"noun": ["sự tiếp tục", "sự hoàn thành", "động tác kết thúc"], "adjective": ["tiếp theo", "hoàn thành"]}
codex	{"noun": ["sách cổ", "bộ luật"]}
cabdriver	{"noun": ["tài xế taxi"]}
chattering	{"verb": ["luyên thuyên", "răng va lập cập"], "noun": ["tiếng luyên thuyên", "tiếng răng va lập cập"]}
impure	{"adjective": ["không tinh khiết", "ô uế", "dơ bẩn"]}
french-speaking	{"adjective": ["nói tiếng Pháp"]}
randomization	{"noun": ["sự ngẫu nhiên hóa"]}
foal	{"noun": ["ngựa con"], "verb": ["đẻ ngựa con"]}
walk-up	{"adjective": ["không có thang máy", "có thể đi bộ lên"], "noun": ["căn hộ không có thang máy"]}
wallop	{"verb": ["đánh mạnh", "tẩn"], "noun": ["cú đánh mạnh"]}
fatherless	{"adjective": ["mồ côi cha"]}
synergistic	{"adjective": ["có tính hiệp lực", "tăng cường lẫn nhau"]}
tastefully	{"adverb": ["có gu", "thanh lịch", "hợp khẩu vị"]}
baptized	{"verb": ["đã làm lễ rửa tội"], "adjective": ["đã được rửa tội"]}
well-lit	{"adjective": ["đủ ánh sáng", "sáng sủa"]}
evidentiary	{"adjective": ["thuộc về bằng chứng", "có tính chứng cứ"]}
constriction	{"noun": ["sự co thắt", "sự thắt lại"]}
grotesquely	{"adverb": ["kỳ quái", "quái dị"]}
modal	{"adjective": ["thuộc về phương thức", "thông thường", "phổ biến"]}
sixty-one	{"noun": ["sáu mươi mốt"], "adjective": ["sáu mươi mốt"]}
teardrop	{"noun": ["giọt nước mắt", "hình giọt nước"]}
swaddle	{"verb": ["quấn tã", "bọc"], "noun": ["tã lót"]}
infinitesimal	{"adjective": ["vô cùng nhỏ", "cực nhỏ"]}
caught	{"verb": ["đã bắt", "đã tóm", "đã bị bắt"]}
irrationality	{"noun": ["sự phi lý", "tính phi lý"]}
concubine	{"noun": ["thứ phi", "vợ lẽ"]}
gable	{"noun": ["đầu hồi (mái nhà)"]}
synchronization	{"noun": ["sự đồng bộ hóa"]}
intangibles	{"noun": ["tài sản vô hình", "những thứ không thể sờ thấy"]}
cobbled	{"adjective": ["lát đá cuội"], "verb": ["lát đá cuội"]}
hitchhiker	{"noun": ["người đi nhờ xe"]}
curative	{"adjective": ["có tính chữa bệnh", "chữa bệnh"], "noun": ["thuốc chữa bệnh"]}
loosening	{"noun": ["sự nới lỏng", "sự thả lỏng"], "verb": ["nới lỏng", "thả lỏng"]}
instep	{"noun": ["mu bàn chân"]}
threaded	{"adjective": ["có ren", "được xâu"], "verb": ["xâu", "luồn"]}
lockdown	{"noun": ["lệnh phong tỏa", "sự đóng cửa"], "verb": ["phong tỏa", "đóng cửa"]}
analogical	{"adjective": ["tương tự", "tương đồng"]}
indivisible	{"adjective": ["không thể chia cắt", "bất khả phân"]}
stabilizing	{"verb": ["làm ổn định"], "adjective": ["ổn định"]}
filer	{"noun": ["người nộp đơn", "người sắp xếp"]}
nacho	{"noun": ["bánh nacho"]}
rationalist	{"noun": ["người theo chủ nghĩa duy lý"]}
meteorology	{"noun": ["khí tượng học"]}
red-brick	{"adjective": ["gạch đỏ"]}
collapsible	{"adjective": ["có thể gấp lại", "có thể thu gọn"]}
copying	{"noun": ["sự sao chép", "sự bắt chước"], "verb": ["sao chép", "bắt chước"]}
sparkly	{"adjective": ["lấp lánh", "long lanh"]}
hunched	{"adjective": ["khom lưng", "gù"], "verb": ["khom lưng", "gù"]}
after-dinner	{"adjective": ["sau bữa tối"]}
starling	{"noun": ["chim sáo đá"]}
paranormal	{"adjective": ["siêu linh", "ngoài hiện tượng tự nhiên"]}
associative	{"adjective": ["có tính liên kết", "liên tưởng"]}
goaltender	{"noun": ["thủ môn"]}
ninth-grade	{"adjective": ["lớp chín"]}
arraign	{"verb": ["truy tố", "đưa ra tòa"]}
record-setting	{"adjective": ["phá kỷ lục", "lập kỷ lục"]}
bray	{"verb": ["kêu be be (lừa)", "kêu la"], "noun": ["tiếng kêu be be", "tiếng kêu la"]}
high-income	{"adjective": ["thu nhập cao"]}
coterie	{"noun": ["nhóm người thân thiết", "bè phái"]}
cannery	{"noun": ["nhà máy đồ hộp"]}
cassava	{"noun": ["cây sắn", "củ sắn"]}
unsmiling	{"adjective": ["không cười", "nghiêm nghị"]}
endogenous	{"adjective": ["nội sinh"]}
reputedly	{"adverb": ["được cho là", "nghe nói"]}
deceleration	{"noun": ["sự giảm tốc", "sự chậm lại"]}
equitably	{"adverb": ["công bằng", "công lý"]}
purplish	{"adjective": ["hơi tím", "tía tía"]}
atherosclerosis	{"noun": ["xơ vữa động mạch"]}
propagandist	{"noun": ["người tuyên truyền"]}
monopolistic	{"adjective": ["độc quyền"]}
browned	{"adjective": ["màu nâu", "đã được làm chín vàng"], "verb": ["làm chín vàng", "làm cho có màu nâu"]}
merriment	{"noun": ["sự vui vẻ", "sự hân hoan"]}
dregs	{"noun": ["cặn bã", "bã"]}
frugality	{"noun": ["sự tiết kiệm", "tính thanh đạm"]}
illegality	{"noun": ["sự bất hợp pháp", "tính bất hợp pháp"]}
seventeen-year-old	{"noun": ["người 17 tuổi"], "adjective": ["17 tuổi"]}
fantastical	{"adjective": ["kỳ ảo", "huyền ảo", "hoang đường"]}
graded	{"adjective": ["được phân loại", "được chấm điểm"], "verb": ["phân loại", "chấm điểm"]}
tiding	{"noun": ["tin tức", "lời báo"]}
stepparent	{"noun": ["cha dượng", "mẹ kế"]}
cartesian	{"adjective": ["thuộc về Descartes", "thuộc về tọa độ Descartes"]}
short-sleeved	{"adjective": ["tay ngắn"]}
high-voltage	{"adjective": ["điện cao thế"]}
loo	{"noun": ["nhà vệ sinh"]}
unrequited	{"adjective": ["không được đáp lại", "đơn phương"]}
factorial	{"noun": ["giai thừa"], "adjective": ["thuộc về giai thừa"]}
contracted	{"adjective": ["bị co lại", "bị nhiễm", "đã ký hợp đồng"], "verb": ["co lại", "nhiễm", "ký hợp đồng"]}
menacingly	{"adverb": ["đe dọa", "hăm dọa"]}
tartan	{"noun": ["vải kẻ ô vuông"], "adjective": ["kẻ ô vuông"]}
nastiness	{"noun": ["sự khó chịu", "sự bẩn thỉu", "sự độc ác"]}
balustrade	{"noun": ["lan can", "tay vịn cầu thang"]}
departing	{"verb": ["khởi hành", "rời đi"], "adjective": ["đang khởi hành", "đang rời đi"]}
despotic	{"adjective": ["độc tài", "chuyên chế"]}
first-team	{"noun": ["đội hình chính"], "adjective": ["đội hình chính"]}
cranium	{"noun": ["hộp sọ"]}
roe	{"noun": ["trứng cá"]}
headrest	{"noun": ["tựa đầu"]}
footman	{"noun": ["người hầu trai", "người chạy việc"]}
hydropower	{"noun": ["thủy điện"]}
unshakable	{"adjective": ["không lay chuyển được", "vững chắc", "kiên định"]}
guardrail	{"noun": ["lan can bảo vệ", "hàng rào chắn"]}
cervix	{"noun": ["cổ tử cung"]}
shilling	{"noun": ["đồng shilling (tiền tệ)"]}
ice-cold	{"adjective": ["lạnh như băng"]}
grouper	{"noun": ["cá mú"]}
liberian	{"adjective": ["thuộc Liberia"], "noun": ["người Liberia"]}
gregorian	{"adjective": ["thuộc lịch Gregory"]}
secretariat	{"noun": ["ban thư ký", "văn phòng thư ký"]}
rotator	{"noun": ["vật quay", "cơ quay"]}
epidemiologic	{"adjective": ["dịch tễ học"]}
admitted	{"verb": ["thừa nhận", "nhận vào", "cho phép vào"]}
retroactively	{"adverb": ["hồi tố", "có hiệu lực trở về trước"]}
virginian	{"adjective": ["thuộc Virginia"], "noun": ["người Virginia"]}
luxuriant	{"adjective": ["sum sê", "xum xuê", "phong phú"]}
thrusting	{"verb": ["đẩy mạnh", "thọc", "xông tới"], "adjective": ["đầy tham vọng", "quyết đoán"]}
skulk	{"verb": ["lẻn đi", "ẩn nấp", "lẩn trốn"]}
staggered	{"verb": ["lảo đảo", "loạng choạng", "làm choáng váng"], "adjective": ["so le", "bố trí xen kẽ"]}
puffed	{"verb": ["phồng lên", "thở hổn hển"], "adjective": ["phồng", "bị thổi phồng"]}
indecipherable	{"adjective": ["không thể giải mã", "khó hiểu"]}
selfhood	{"noun": ["bản ngã", "tính cách cá nhân"]}
one-shot	{"adjective": ["một lần", "duy nhất", "chỉ một lần"]}
cursive	{"adjective": ["viết thảo", "chữ thảo"]}
serendipity	{"noun": ["sự tình cờ", "khả năng tìm thấy điều may mắn"]}
pharmacology	{"noun": ["dược lý học"]}
about-face	{"noun": ["sự quay ngược", "sự thay đổi hoàn toàn"], "verb": ["quay ngược", "thay đổi hoàn toàn"]}
eponymous	{"adjective": ["cùng tên", "được đặt tên theo"]}
enabler	{"noun": ["người tạo điều kiện", "người tiếp tay"]}
non-smoker	{"noun": ["người không hút thuốc"]}
induced	{"verb": ["gây ra", "xui khiến", "dẫn đến"], "adjective": ["bị gây ra", "bị xui khiến"]}
raunchy	{"adjective": ["thô tục", "dâm ô", "tục tĩu"]}
